"idx","no","category","title","author","date","hits"
"1","","Others / Прочее","Welcome to the BK-LUPIC ARCHIVE! Добро пожаловать в BK-LUPIC ARCHIVE!","관리자","2025-06-27","12"
"10","8","Teaching & Innovation / Обучение и инновации","Digital Tools for Work Efficiency / Цифровые инструменты для повышения эффективности","관리자","2025-06-27","2"
"100","","Others / Прочее","Видео_Международный День Медицинской Сестры","관리자","2026-06-15","16"
"11","9","Teaching & Innovation / Обучение и инновации","Data Skills with Excel & Google Sheets / Навыки работы с данными в Excel и Google Таблицах","관리자","2025-06-27","3"
"12","10","Research Capacity / Научный потенциал","JASP for Data Analysis / JASP для анализа данных","관리자","2025-06-27","2"
"13","11","Curriculum / Учебные планы","Accelerated RN-BSN & Program Review / Ускоренная программа RN-BSN и обзор учебного плана","관리자","2025-06-27","3"
"14","12","Curriculum / Учебные планы","BSN Implementation and Quality Assessment / Реализация BSN и оценка качества","관리자","2025-06-27","6"
"15","13","Professional Development / Профразвитие","Bridging Nursing Research and Policy / Связь исследований в сестринском и акушерском деле с политико","관리자","2025-06-27","4"
"16","14","Research Capacity / Научный потенциал","Supporting Nurse Researchers: A Case Study / Поддержка медсестер-исследователей_тематическое исследо","관리자","2025-06-27","2"
"17","15","Research Capacity / Научный потенциал","Research Skills in Kyrgyz Healthcare / Научные навыки в здравоохранении КР","관리자","2025-06-27","2"
"18","16","Research Capacity / Научный потенциал","Diabetes Care Innovation Through Research / Инновации в лечении диабета через исследования","관리자","2025-06-27","3"
"19","17","Policy / Политика","Emergency Department / Отделение неотложной помощи","관리자","2025-06-27","3"
"2","1","Policy / Политика","Nursing Competencies and Needs / Компетенции и потребности в сестринском деле","관리자","2025-06-27","14"
"20","18","Professional Development / Профразвитие","Leadership in Nursing Research / Лидерство в сестринских исследованиях","관리자","2025-06-27","1"
"21","19","Clinical Capacity / Клинический потенциал","Participant Expectations & Aspirations-Ожидания и стремления участников","관리자","2025-06-27","2"
"22","20","Research Capacity / Научный потенциал","Hospital Care Research-Исследования стационарной медицинской помощи","관리자","2025-06-27","6"
"23","21","Professional Development / Профразвитие","Nurses in Population Health-Роль медсестер в охране здоровья населения","관리자","2025-06-27","3"
"24","22","Professional Development / Профразвитие","Innovation in Nursing Science-Инновации в науке о сестринском деле","관리자","2025-06-27","1"
"25","23","Curriculum / Учебные планы","Master’s Program in Nursing at KSMA-Магистратура по сестринскому делу в КГМА","관리자","2025-06-27","3"
"26","24","Policy / Политика","Healthcare Qualifications for Nurses in Kyrgyzstan - Квалификации медсестер в системе здравоохранени","관리자","2025-06-27","3"
"27","25","Curriculum / Учебные планы","Professional Standard for Registered Nurse: Levels 6 & 7-Профстандарт медсестры_ уровни 6 и 7","관리자","2025-06-27","5"
"28","26","Policy / Политика","Master’s Program in Nursing at KSMA-Магистратура по сестринскому делу","관리자","2025-06-27","3"
"29","27","Curriculum / Учебные планы","PhD in Nursing: fr<x>amework & Pathways-Докторантура по сестринскому делу_ структура и направления","관리자","2025-06-27","2"
"3","2","Curriculum / Учебные планы","Nursing Bachelor's Program Report/Отчет о программе бакалавриата по сестринскому делу","관리자","2025-06-27","11"
"30","28","Research Capacity / Научный потенциал","Primary Care Research-Исследования в первичной медико-санитарной помощи","관리자","2025-06-27","1"
"31","29","Research Capacity / Научный потенциал","Rehabilitation Research-Исследования в области реабилитации","관리자","2025-06-27","2"
"32","30","Policy / Политика","Professional Development and Nursing Research between Kyrgyzstan and Korea-Профессиональное развитие","관리자","2025-06-27","4"
"33","31","Research Capacity / Научный потенциал","The Value of Nursing Science-Значение науки о сестринском деле","관리자","2025-06-27","3"
"34","32","Curriculum / Учебные планы","Clinical Practicum Workbook Development-Разработка рабочей тетради по клинической практике","관리자","2025-06-27","4"
"35","33","Curriculum / Учебные планы","Fundamentals of Nursing-Основы сестринского дела","관리자","2025-06-27","5"
"36","34","Curriculum / Учебные планы","First Aid-Первая помощь","관리자","2025-06-27","4"
"37","35","Curriculum / Учебные планы","Basic Nursing Care-Базовый уход","관리자","2025-06-27","8"
"38","36","Curriculum / Учебные планы","Surgical Diseases-Хирургические болезни","관리자","2025-06-27","4"
"39","37","Curriculum / Учебные планы","Medical Nursing-Сестринское дело в терапии","관리자","2025-06-27","3"
"40","38","Curriculum / Учебные планы","Surgical Nursing-Сестринское дело в хирургии","관리자","2025-06-27","2"
"41","39","Curriculum / Учебные планы","Faculty and Student Feedback-Мнение ППС и студентов","관리자","2025-06-27","4"
"42","40","Curriculum / Учебные планы","Health Assessment - Оценка состояния здоровья","관리자","2025-06-27","2"
"43","41","Curriculum / Учебные планы","Monitoring Educational Reforms-Мониторинг образовательных реформ","관리자","2025-06-27","6"
"44","42","Curriculum / Учебные планы","Curriculum Structure Analysis-Анализ структуры учебных программ","관리자","2025-06-27","1"
"45","43","Curriculum / Учебные планы","Resource Utilization in the Curriculum-Использование ресурсов в учебном процессе","관리자","2025-06-27","1"
"46","44","Teaching & Innovation / Обучение и инновации","Innovative Methods in Simulation Nursing Education-Инновационные методы в симуляционном обучении мед","관리자","2025-06-27","3"
"47","45","Professional Development / Профразвитие","Contributions of Nurses by Experience Level-Вклад медсестер в зависимости от опыта","관리자","2025-06-27","2"
"48","46","Professional Development / Профразвитие","Journey of a Clinical Registered Nurse-Путь клинической зарегистрированной медсестры","관리자","2025-06-27","2"
"49","47","Policy / Политика","Nursing Education Accreditation in Kyrgyzstan-Аккредитация сестринского образования в Кыргызстане","관리자","2025-06-27","4"
"5","3","Curriculum / Учебные планы","Nurse Education and Continuous Development / Образование и непрерывное развитие медсестер","관리자","2025-06-27","6"
"50","48","Policy / Политика","Nurse Licensing and National Exam in Korea-Лицензирование медсестер и госэкзамен в Корее","관리자","2025-06-27","4"
"51","49","Professional Development / Профразвитие","Clinical Ladder and Nurse Roles-Карьерная лестница и роли медсестер","관리자","2025-06-27","5"
"52","50","Professional Development / Профразвитие","Journey of a Clinical Practice Nurse - Путь медсестры клинической практики","관리자","2025-06-27","4"
"53","51","Policy / Политика","Nurse Licensing and Registration in Kyrgyzstan - Лицензирование и регистрация медсестер в Кыргызстан","관리자","2025-06-27","2"
"54","52","Policy / Политика","Nursing Education Accreditation in Korea - Аккредитация сестринского образования в Корее","관리자","2025-06-27","3"
"55","53","Curriculum / Учебные планы","Nursing Education and Practice Innovation in Korea - Инновации в образовании и практике медсестер в ","관리자","2025-06-27","2"
"56","54","Curriculum / Учебные планы","BSN Curriculum Development Status - Состояние разработки учебного плана BSN","관리자","2025-06-27","3"
"57","55","Curriculum / Учебные планы","Nursing Textbook Status and Practice - Состояние и использование учебников по сестринскому делу","관리자","2025-06-27","2"
"58","56","Teaching & Innovation / Обучение и инновации","Clinical Nursing Skills and Teaching in Kyrgyzstan - Клинические навыки и преподавание в сестринском","관리자","2025-06-27","2"
"59","57","Teaching & Innovation / Обучение и инновации","Global Trends in Clinical Nursing Skills - Мировые тенденции в клинических навыках медсестер","관리자","2025-06-27","2"
"6","4","Policy / Политика","WHO Support for Nursing in Kyrgyzstan / Поддержка ВОЗ сестринского дела в Кыргызстане","관리자","2025-06-27","6"
"60","58","Curriculum / Учебные планы","Master’s Program Development in Nursing at KSMA - Развитие магистратуры по сестринскому делу в КГМА","관리자","2025-06-27","3"
"61","59","Curriculum / Учебные планы","Global Trends in Master’s Nursing Education -Мировые тенденции в магистратуре по сестринскому делу","관리자","2025-06-27","2"
"62","60","Teaching & Innovation / Обучение и инновации","OSCE Development and Implementation - Разработка и внедрение OSCE","관리자","2025-06-27","4"
"63","61","Research Capacity / Научный потенциал","IRB Writing and Research Ethics - Этика исследований и подготовка IRB","관리자","2025-06-27","4"
"64","62","Policy / Политика","Facility and Resource Management Evaluation - Оценка управления ресурсами и инфраструктурой","관리자","2025-06-27","5"
"65","63","Professional Development / Профразвитие","Building Leadership in Global Health - Формирование лидерства в области глобального здравоохранения","관리자","2025-06-27","6"
"66","64","Teaching & Innovation / Обучение и инновации","ICT in Healthcare Education - ИКТ в медицинском образовании","관리자","2025-06-27","7"
"67","65","Curriculum / Учебные планы","Course Planning Workbook - Рабочая тетрадь по планированию курса","관리자","2025-06-27","5"
"68","66","Curriculum / Учебные планы","Nursing Education in Kyrgyzstan (2021) - Сестринское образование в Кыргызстане (2021)","관리자","2025-06-27","6"
"69","67","Curriculum / Учебные планы","Nursing Education Reforms in Kyrgyzstan (2021) - Реформы сестринского образования в Кыргызстане (202","관리자","2025-06-27","9"
"7","5","Professional Development / Профразвитие","Overcoming Stereotypes in Nursing / Преодоление стереотипов в сестринском деле","관리자","2025-06-27","13"
"70","68","Curriculum / Учебные планы","Nursing Curriculum in Korea (2019) - Учебный план по сестринскому делу в Корее (2019)","관리자","2025-06-27","10"
"71","69","Professional Development / Профразвитие","Communication & Cooperation - Коммуникация и сотрудничество","관리자","2025-06-27","12"
"72","70","Curriculum / Учебные планы","Обзор психиатрической медсестринской помощи/정신간호학 개요","관리자","2025-07-01","20"
"73","71","Clinical Capacity / Клинический потенциал","Обзор психического здоровья/ Mental Health","관리자","2025-07-01","17"
"74","72","Teaching & Innovation / Обучение и инновации","Эффективные стратегии использования симуляции/Effective Strategies for Utilizing Simulation","관리자","2025-07-01","17"
"75","73","Research Capacity / Научный потенциал","Концепция сестринского дела/Nursing Concept Development","관리자","2025-07-01","34"
"76","74","Teaching & Innovation / Обучение и инновации","ICT Excel Basic Video / Базовое видео по Excel (ИКТ)","관리자","2025-08-08","5"
"77","75","Teaching & Innovation / Обучение и инновации","ICT_Gmail, Drive / ИКТ_Gmail, Диск","관리자","2025-08-08","17"
"78","76","Teaching & Innovation / Обучение и инновации","Презентация ко Дню науки / Science Day Presentation","관리자","2025-11-28","1"
