"bidx","fidx","name","bytes","mime","title"
"10","142","Цифровые инструменты для повышения эффективности.pdf","2962504","application/pdf","Digital Tools for Work Efficiency / Цифровые инструменты для повышения эффективности"
"10","212","Digital Tools for Work Efficiency.pdf","2942782","application/pdf","Digital Tools for Work Efficiency / Цифровые инструменты для повышения эффективности"
"11","143","Навыки работы с данными в Excel и Google Таблицах.pdf","6212259","application/pdf","Data Skills with Excel & Google Sheets / Навыки работы с данными в Excel и Google Таблицах"
"11","213","Data Skills with Excel & Google Sheets.pdf","962356","application/pdf","Data Skills with Excel & Google Sheets / Навыки работы с данными в Excel и Google Таблицах"
"12","144","JASP для анализа данных.pdf","6121007","application/pdf","JASP for Data Analysis / JASP для анализа данных"
"12","214","JASP for Data Analysis.pdf","6134498","application/pdf","JASP for Data Analysis / JASP для анализа данных"
"13","145","Ускоренная программа RN-BSN и обзор учебного плана.pdf","226428","application/pdf","Accelerated RN-BSN & Program Review / Ускоренная программа RN-BSN и обзор учебного плана"
"13","215","Accelerated RN-BSN & Program Review.pdf","226442","application/pdf","Accelerated RN-BSN & Program Review / Ускоренная программа RN-BSN и обзор учебного плана"
"14","146","Реализация BSN и оценка качества.pdf","265075","application/pdf","BSN Implementation and Quality Assessment / Реализация BSN и оценка качества"
"14","216","BSN Implementation and Quality Assessment.pdf","204151","application/pdf","BSN Implementation and Quality Assessment / Реализация BSN и оценка качества"
"15","147","Bridging Nursing Research and Policy-Связь исследований в сестринском и акушерском деле с политикой.","1072787","application/pdf","Bridging Nursing Research and Policy / Связь исследований в сестринском и акушерском деле с политико"
"15","217","Bridging Nursing Research and Policy-Связь исследований в сестринском и акушерском деле с политикой.","1072787","application/pdf","Bridging Nursing Research and Policy / Связь исследований в сестринском и акушерском деле с политико"
"16","148","Supporting Nurse Researchers A Case Study-Поддержка медсестер-исследователей_тематическое исследован","1056207","application/pdf","Supporting Nurse Researchers: A Case Study / Поддержка медсестер-исследователей_тематическое исследо"
"16","218","Supporting Nurse Researchers A Case Study-Поддержка медсестер-исследователей_тематическое исследован","1056207","application/pdf","Supporting Nurse Researchers: A Case Study / Поддержка медсестер-исследователей_тематическое исследо"
"17","149","Research Skills in Kyrgyz Healthcare-Научные навыки в здравоохранении КР.pdf","618316","application/pdf","Research Skills in Kyrgyz Healthcare / Научные навыки в здравоохранении КР"
"17","219","Research Skills in Kyrgyz Healthcare-Научные навыки в здравоохранении КР.pdf","618316","application/pdf","Research Skills in Kyrgyz Healthcare / Научные навыки в здравоохранении КР"
"18","150","Diabetes Care Innovation Through Research-Инновации в лечении диабета через исследования.pdf","175188","application/pdf","Diabetes Care Innovation Through Research / Инновации в лечении диабета через исследования"
"18","220","Diabetes Care Innovation Through Research-Инновации в лечении диабета через исследования.pdf","175188","application/pdf","Diabetes Care Innovation Through Research / Инновации в лечении диабета через исследования"
"19","151","Emergency Department-Отделение неотложной помощи.pdf","244368","application/pdf","Emergency Department / Отделение неотложной помощи"
"19","221","Emergency Department-Отделение неотложной помощи.pdf","244368","application/pdf","Emergency Department / Отделение неотложной помощи"
"2","133","Nursing Competencies and Needs-Компетенции и потребности в сестринском деле.pdf","378089","application/pdf","Nursing Competencies and Needs / Компетенции и потребности в сестринском деле"
"2","208","Nursing Competencies and Needs-Компетенции и потребности в сестринском деле.pdf","378089","application/pdf","Nursing Competencies and Needs / Компетенции и потребности в сестринском деле"
"20","152","Leadership in Nursing Research-Лидерство в сестринских исследованиях.pdf","449147","application/pdf","Leadership in Nursing Research / Лидерство в сестринских исследованиях"
"20","222","Leadership in Nursing Research-Лидерство в сестринских исследованиях.pdf","449147","application/pdf","Leadership in Nursing Research / Лидерство в сестринских исследованиях"
"21","153","Participant Expectations & Aspirations-Ожидания и стремления участников.pdf","206312","application/pdf","Participant Expectations & Aspirations-Ожидания и стремления участников"
"21","223","Participant Expectations & Aspirations-Ожидания и стремления участников.pdf","206312","application/pdf","Participant Expectations & Aspirations-Ожидания и стремления участников"
"22","154","Hospital Care Research-Исследования стационарной медицинской помощи.pdf","173902","application/pdf","Hospital Care Research-Исследования стационарной медицинской помощи"
"22","224","Hospital Care Research-Исследования стационарной медицинской помощи.pdf","173902","application/pdf","Hospital Care Research-Исследования стационарной медицинской помощи"
"23","155","Nurses in Population Health-Роль медсестер в охране здоровья населения.pdf","3650597","application/pdf","Nurses in Population Health-Роль медсестер в охране здоровья населения"
"23","225","Nurses in Population Health-Роль медсестер в охране здоровья населения.pdf","3650597","application/pdf","Nurses in Population Health-Роль медсестер в охране здоровья населения"
"24","156","Innovation in Nursing Science-Инновации в науке о сестринском деле.pdf","2710001","application/pdf","Innovation in Nursing Science-Инновации в науке о сестринском деле"
"24","226","Innovation in Nursing Science-Инновации в науке о сестринском деле.pdf","2710001","application/pdf","Innovation in Nursing Science-Инновации в науке о сестринском деле"
"25","227","Master’s Program in Nursing at KSMA.pdf","347612","application/pdf","Master’s Program in Nursing at KSMA-Магистратура по сестринскому делу в КГМА"
