"언어","종류","게시판","idx","번호","카테고리","제목","작성자","등록일","조회"
"ko","news","news","75","공지","공지사항","[BK-LUPIC 소식] 신현숙 사업단장 키르기스스탄 파견 활동","관리자","2026-09-04","11"
"ko","news","news","73","공지","공지사항","[Abstract Submission Deadline — Extended!] 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","관리자","2026-03-20","156"
"ko","news","news","72","공지","공지사항","[Register Now] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY!","관리자","2026-03-04","190"
"ko","news","news","77","52","공지사항","[BK-LUPIC 소식] 신현숙 사업단장, 키르기스스탄 보건부 의학교육·과학 부서와 회의","관리자","2026-09-04","5"
"ko","news","news","76","51","공지사항","[BK-LUPIC 소식] 신현숙 사업단장, 주키르기스스탄 대한민국 대사관 방문","관리자","2026-09-04","4"
"ko","news","news","74","50","공지사항","[채용] 경희대학교 아동간호학교실 2026 하반기 ODA 영프로페셔널(YP) 채용","관리자","2026-09-03","37"
"ko","news","news","71","49","공지사항","Call for Abstract: 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","관리자","2026-02-23","129"
"ko","news","news","70","48","공지사항","[채용] 경희대학교 아동간호학교실 2026 상반기 ODA 영프로페셔널(YP) 채용","관리자","2025-12-24","525"
"ko","news","news","69","47","공지사항","BK-LUPIC May 2025 Faculty Development Workshop: Innovative and Strategic Advancement of Nursing Education in the Kyrgyz Republic","관리자","2025-05-26","685"
"ko","news","news","68","46","공지사항","[채용]2025년 NURSphere Lab 연구원 모집 공고","관리자","2025-05-21","495"
"ko","news","news","66","45","공지사항","Poster Session: CALL FOR ABSTRACT EXTENDED!","관리자","2025-04-10","427"
"ko","news","news","65","44","공지사항","제 6회 International Nursing Forum","관리자","2025-04-09","684"
"ko","news","news","64","43","공지사항","Poster Session: CALL FOR ABSTRACT NOTIFICATION","관리자","2025-03-25","348"
"ko","news","news","63","42","공지사항","키르기즈 공화국 연수단 한국 방문 (2025.02.10. - 2025.02.14.)","관리자","2025-02-20","257"
"ko","news","news","62","41","공지사항","[채용] 경희대학교 아동간호학교실 2025 상반기 ODA 영프로페셔널(YP) 채용 재공고 (기한 연장)","관리자","2025-01-08","776"
"ko","news","news","61","40","공지사항","[채용] 경희대학교 아동간호학교실 2025 상반기 ODA 영프로페셔널(YP) 채용","관리자","2024-12-06","781"
"ko","news","news","60","39","국내언론","키르기즈국립의과대학, 경희대학교에 개교 85주년 맞아 감사장 수여","관리자","2024-09-11","340"
"ko","news","news","59","38","공지사항","BK-LUPIC 선진적 간호교육 구축에 한 걸음 더 다가가다 (BK-LUPIC 1,2차년도 성과 보고)","관리자","2024-07-24","307"
"ko","news","news","58","37","공지사항","[채용마감] 2024년 NURSphere Lab 연구원 모집 공고","관리자","2024-07-22","935"
"ko","news","news","57","36","공지사항","International conference on the development of nursing science with the participation of experts from WHO collaborating centers","관리자","2024-07-17","285"
"ko","news","news","56","35","공지사항","WHO European region Collaborating Centers & country office and KSMA, BK-LUPIC","관리자","2024-07-17","183"
"ko","news","news","55","34","공지사항","BK-LUPIC 2024 교원 역량 강화 프로그램 데이터 관리 및 분석 교육","관리자","2024-06-05","238"
"ko","news","news","54","33","공지사항","국제 간호사의 날 2024","관리자","2024-05-13","721"
"ko","news","news","53","32","공지사항","[보도자료] 키르기즈 공화국에서 개최한 제5회 국제간호포럼 개최","관리자","2024-05-09","328"
"ko","news","news","51","31","국내언론","[국내언론] 키르기즈 공화국에서 개최한 제5회 국제간호포럼 개최 소식 언론 보도","관리자","2024-05-09","743"
"ko","news","news","50","30","공지사항","제 5회 International Nursing Forum","관리자","2024-05-01","306"
"ko","news","news","49","29","공지사항","Poster Session: CALL FOR ABSTRACT EXTENDED!","관리자","2024-04-13","315"
"ko","news","news","48","28","공지사항","Poster Session: CALL FOR ABSTRACT NOTIFICATION","관리자","2024-03-28","427"
"ko","news","news","47","27","공지사항","[채용] 경희대학교 아동간호학교실 2024 상반기 ODA 영프로페셔널(YP) 채용 재공고 (기한 연장)","관리자","2023-12-26","1,348"
"ko","news","news","46","26","공지사항","[채용] 경희대학교 아동간호학교실 2024 상반기 ODA 영프로페셔널(YP) 채용","관리자","2023-12-14","1,202"
"ko","news","news","45","25","공지사항","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 결원 채용(기한연장)","관리자","2023-08-29","713"
"ko","news","news","44","24","공지사항","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 결원 채용(마감)","관리자","2023-08-17","285"
"ko","news","news","43","23","공지사항","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 채용 재공고 (기한 연장-마감)","관리자","2023-07-18","292"
"ko","news","news","42","22","공지사항","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 채용 (마감)","관리자","2023-06-22","1,029"
"ko","news","news","41","21","공지사항","[국내언론] 키르기즈 공화국 간호학과 조산학의 학사 및 대학원 프로그램 도입 공식 승인 언론 보도","관리자","2023-06-16","366"
"ko","news","news","40","20","공지사항","[보도자료] 키르기즈 공화국 간호학과 조산학의 학사 및 대학원 프로그램 도입 공식 승인","관리자","2023-06-15","726"
"ko","news","news","38","19","공지사항","CALL FOR ABSTRACT EXTENDED !","관리자","2023-06-09","647"
"ko","news","news","35","18","공지사항","Poster Session: CALL FOR ABSTRACT NOTIFICATION","관리자","2023-06-01","678"
"ko","news","news","33","17","공지사항","제 4회 International Nursing Forum","관리자","2023-05-30","709"
"ko","news","news","32","16","공지사항","대한민국 간호법 제정을 지지합니다! (간호법 바로알기 카드뉴스)","관리자","2023-05-19","607"
"ko","news","news","31","15","공지사항","세계 간호사의 날 2023","관리자","2023-05-12","1,138"
"ko","news","news","30","14","공지사항","제 5회 Educational session '간호학 학사 과정과 간호 직무 표준'","관리자","2023-03-29","1,698"
"ko","news","news","29","13","공지사항","제4회 Educational session '키르기즈 공화국의 보건정보시스템 구축을 위한 효과적인 전략 도출 및 적용 방안'","관리자","2023-03-29","429"
"ko","news","news","28","12","공지사항","[채용] 경희대학교 아동간호학교실 2023 상반기 ODA 영프로페셔널(YP) 채용 (마감)","관리자","2023-02-10","455"
"ko","news","news","27","11","공지사항","[채용] 경희대학교 아동간호학교실 2022 하반기 ODA 영프로페셔널(YP) 채용(마감)","관리자","2023-02-10","299"
"ko","news","news","26","10","공지사항","[공지] 국제간호사의 날","관리자","2023-02-10","413"
"ko","news","news","25","9","국내언론","[국내언론] BK-LUPIC Kickoff Ceremony 언론 보도","관리자","2023-02-10","374"
"ko","news","news","24","8","공지사항","[공지] BK-LUPIC 프로젝트가 시작됩니다!","관리자","2023-02-10","542"
"ko","news","news","18","7","공지사항","[공지] 2019 교육부 글로벌교육지원 사업 국내초청 연수","관리자","2023-02-09","401"
"ko","news","news","17","6","공지사항","[공지] 2019 International Conference : Child Health and Nursing Education(마감)","관리자","2023-02-09","305"
"ko","news","news","16","5","공지사항","[공지] Bright Kyrgyzstan 'Good Parenting'","관리자","2023-02-09","293"
"ko","news","news","15","4","공지사항","[공지] GPHO(국제보건전문가) 현장 훈련 프로그램 7기 모집(마감)","관리자","2023-02-09","297"
"ko","news","news","14","3","공지사항","[공지] Bright Kyrgyzstan 홈페이지 오픈","관리자","2023-02-09","258"
"ko","news","news","13","2","공지사항","[공지] GLP(국제보건 리더십 프로그램 7기 및 GPHO(국제보건전문가 현장훈련 프로그램) 4기 모집(마감)","관리자","2023-02-09","246"
"ko","news","news","12","1","공지사항","[공지] 키르기즈스탄 이주민마을 지역사회기반 예방중심 건강증진 사업의 새로운 시작을 함께해주세요!","관리자","2023-02-09","364"
"en","news","news_en","41","Notice","Notice","[Register Now] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY!","관리자","2026-04-21","92"
"en","news","news_en","40","Notice","Notice","[Program] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY & WHO CENTRAL ASIA COORDINATION COUNCIL OF CHIEF STATE SPECIALISTS","관리자","2026-04-09","116"
"en","news","news_en","39","Notice","Notice","[Abstract Submission Deadline — Extended!] 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","관리자","2026-03-20","133"
"en","news","news_en","33","Notice","Notice","BK-LUPIC Introduction","관리자","2025-09-17","446"
"en","news","news_en","38","33","Notice","[Register Now] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY!","관리자","2026-03-04","113"
"en","news","news_en","37","32","Notice","Call for Abstract: 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","관리자","2026-02-21","150"
"en","news","news_en","32","31","Notice","BK-LUPIC May 2025 Faculty Development Workshop: Innovative and Strategic Advancement of Nursing Education in the Kyrgyz Republic","관리자","2025-05-26","622"
"en","news","news_en","31","30","Notice","Poster Session: CALL FOR ABSTRACT! (Submission date EXTENDED!)","관리자","2025-04-10","387"
"en","news","news_en","30","29","Notice","6th International Nursing Forum","관리자","2025-04-09","555"
"en","news","news_en","29","28","Notice","Poster Session: CALL FOR ABSTRACT NOTIFICATION","관리자","2025-03-25","346"
"en","news","news_en","28","27","Notice","2025 Korea Invitational Training Program (2025.02.10. - 2025.02.14.)","관리자","2025-02-24","578"
"en","news","news_en","27","26","Korean","Kyrgyz State Medical Academy Awards Kyung Hee University on its 85th Anniversary","관리자","2024-09-11","1,076"
"en","news","news_en","26","25","Notice","Advancing Progressive Nursing Education through BK-LUPIC (BK-LUPIC Year 1 and 2 Achievement Report)","관리자","2024-07-24","710"
"en","news","news_en","25","24","Notice","International conference on the development of nursing science with the participation of experts from WHO collaborating centers","관리자","2024-07-17","262"
"en","news","news_en","24","23","Notice","WHO European region Collaborating Centers & country office and KSMA, BK-LUPIC","관리자","2024-07-17","327"
