"언어","원본","slug","제목","contArea클래스","본문길이","이미지수"
"ko","sub02_03","projects-lupic","국제협력선도대학 육성지원사업","wide","443","5"
"ko","sub02_01","projects-child-health","아동건강 증진사업","wide","2586","17"
"ko","sub01_03","join","참여방법","","318","2"
"ko","sub01_02","partners","협력기관","","305","18"
"ko","sub02_02","projects-ges","간호교육정책 수립사업","wide","1755","13"
"ko","sub01_01","about","소개","wide","377","6"
"en","sub02_03","projects-lupic","Leading University Project for International Cooperation","wide","1394","6"
"en","sub02_01","projects-child-health","Child Health Promotion Project","wide","3000","17"
"en","sub01_03","join","회사개요","","292","1"
"en","sub01_02","partners","Partners","","929","18"
"en","sub02_02","projects-ges","Global Education Support","wide","3558","7"
"en","sub01_01","about","About us","wide","954","6"
"ky","sub02_03","projects-lupic","Алдыңкы университеттердин эл аралык кызматташтыгын колдоо долбоору","wide","1938","8"
"ky","sub02_01","projects-child-health","Балдардын ден соолугун чыңдоо долбоору","wide","3617","17"
"ky","sub01_03","join","회사개요","","292","1"
"ky","sub01_02","partners","Кызматташуу","","943","18"
"ky","sub02_02","projects-ges","Билим берүүнү глобалдык колдоо","wide","3932","7"
"ky","sub01_01","about","Биз жөнүндө","wide","878","6"
"ru","sub02_03","projects-lupic","Проект по Поддержке Международного Сотрудничества Ведущих Университетов","wide","1546","7"
"ru","sub02_01","projects-child-health","Проект по укреплению детского здоровья","wide","3335","17"
"ru","sub01_03","join","Присоединяйтесь к нам","","1192","2"
"ru","sub01_02","partners","Сотрудничество","","958","18"
"ru","sub02_02","projects-ges","Глобальная Поддержка Образования","wide","3989","7"
"ru","sub01_01","about","О нас","wide","859","6"
