"원본경로","새경로","처리","EXIF","원본","결과","원본KB","결과KB"
"/uploaded/banner/1ce6c7f18a1d3f7d6499c847eaabd2e1.jpg","/images/uploaded/banner/1ce6c7f18a1d3f7d6499c847eaabd2e1.jpg","JPG 재압축","1","1920x700","1400x510","614","163"
"/uploaded/banner/a7b56e04c147b7f2d93f69f4248f05b1.jpg","/images/uploaded/banner/a7b56e04c147b7f2d93f69f4248f05b1.jpg","JPG 재압축","1","1920x700","1400x510","319","85"
"/uploaded/board/news/e4ee752830cd4f4f5b10fafaff60ab320.jpg","/images/uploaded/board/news/e4ee752830cd4f4f5b10fafaff60ab320.jpg","JPG 재압축","1","2304x3456","933x1400","1089","233"
"/uploaded/board/news_en/27031a441251852162b289cd0f3f01280.jpg","/images/uploaded/board/news_en/27031a441251852162b289cd0f3f01280.jpg","JPG 재압축","1","2304x3456","933x1400","1089","233"
"/uploaded/board/news_kg/a40a635b6461fb48f36f376b9e9076750.jpg","/images/uploaded/board/news_kg/a40a635b6461fb48f36f376b9e9076750.jpg","JPG 재압축","1","2304x3456","933x1400","1090","230"
"/uploaded/board/news_ru/9005c72236c3e03770ac5d3396ecc18d0.jpg","/images/uploaded/board/news_ru/9005c72236c3e03770ac5d3396ecc18d0.jpg","JPG 재압축","1","2304x3456","933x1400","1090","230"
"/uploaded/board/news_ru/b083f81c91ecc3c4d94daec4a9c496820.png","/images/uploaded/board/news_ru/b083f81c91ecc3c4d94daec4a9c496820.jpg","PNG→JPG","1","2160x2700","1120x1400","2400","275"
"/uploaded/board/social/4796a8b36f5c6e4ba7c9d749ef6e31e70.jpeg","/images/uploaded/board/social/4796a8b36f5c6e4ba7c9d749ef6e31e70.jpeg","JPG 재압축","1","2048x1536","1400x1050","1298","347"
"/uploaded/board/social/6af9751e4256a7caea34933d194e08770.jpg","/images/uploaded/board/social/6af9751e4256a7caea34933d194e08770.jpg","JPG 재압축","1","607x395","607x395","29","29"
"/uploaded/board/social/c14cabdfb6e08db046e424aa1004c16b0.jpg","/images/uploaded/board/social/c14cabdfb6e08db046e424aa1004c16b0.jpg","JPG 재압축","1","1280x827","1280x827","179","150"
"/uploaded/board/social/c14cabdfb6e08db046e424aa1004c16b1.jpg","/images/uploaded/board/social/c14cabdfb6e08db046e424aa1004c16b1.jpg","JPG 재압축","1","1280x828","1280x828","173","148"
"/uploaded/board/social/t_6af9751e4256a7caea34933d194e08770.jpg","/images/uploaded/board/social/t_6af9751e4256a7caea34933d194e08770.jpg","JPG 재압축","1","607x395","607x395","83","29"
"/uploaded/popup/67190243139d3b1fa75412f96a7089bc.png","/images/uploaded/popup/67190243139d3b1fa75412f96a7089bc.jpg","PNG→JPG","1","1040x1358","1040x1358","630","112"
"/uploaded/summernote/202302/002d9682eb6bf0f281555f6da3535418.jpg","/images/uploaded/summernote/202302/002d9682eb6bf0f281555f6da3535418.jpg","JPG 재압축","1","960x720","960x720","73","96"
"/uploaded/summernote/202302/00520795fdf99c112bee79ad32bd16b3.jpg","/images/uploaded/summernote/202302/00520795fdf99c112bee79ad32bd16b3.jpg","JPG 재압축","1","1024x683","1024x683","50","53"
"/uploaded/summernote/202302/0057862d222ebf14e1f3ba452f249b27.jpg","/images/uploaded/summernote/202302/0057862d222ebf14e1f3ba452f249b27.jpg","JPG 재압축","1","600x255","600x255","27","28"
"/uploaded/summernote/202302/017928f23de0ccd71e63a48917f96827.jpg","/images/uploaded/summernote/202302/017928f23de0ccd71e63a48917f96827.jpg","JPG 재압축","1","1080x1080","1080x1080","128","128"
"/uploaded/summernote/202302/01a8b96b00a2c30c58c3cd9745efda12.jpg","/images/uploaded/summernote/202302/01a8b96b00a2c30c58c3cd9745efda12.jpg","JPG 재압축","1","600x450","600x450","42","43"
"/uploaded/summernote/202302/021e785fb91069499eb3ebee6ad4b29f.jpg","/images/uploaded/summernote/202302/021e785fb91069499eb3ebee6ad4b29f.jpg","JPG 재압축","1","2048x1365","1400x933","234","173"
"/uploaded/summernote/202302/02446d3adfc0058d8626903457470bc4.jpg","/images/uploaded/summernote/202302/02446d3adfc0058d8626903457470bc4.jpg","JPG 재압축","1","600x338","600x338","38","40"
"/uploaded/summernote/202302/027c173094e42acc8f8447d7fce6d291.png","/images/uploaded/summernote/202302/027c173094e42acc8f8447d7fce6d291.jpg","PNG→JPG","1","1280x720","1280x720","1104","176"
"/uploaded/summernote/202302/02c77849f5f2f8746bc07f86da150dc5.jpg","/images/uploaded/summernote/202302/02c77849f5f2f8746bc07f86da150dc5.jpg","JPG 재압축","1","1316x640","1316x640","76","93"
"/uploaded/summernote/202302/02c93af5e12558764ecaa0c74f46ae1c.png","/images/uploaded/summernote/202302/02c93af5e12558764ecaa0c74f46ae1c.jpg","PNG→JPG","1","1496x951","1400x890","1608","116"
"/uploaded/summernote/202302/02ce7dd4adbdbada7550d9e5c7eaeefa.png","/images/uploaded/summernote/202302/02ce7dd4adbdbada7550d9e5c7eaeefa.jpg","PNG→JPG","1","1280x720","1280x720","1380","184"
"/uploaded/summernote/202302/02fb2b49061071da57bfc946fb32e315.jpg","/images/uploaded/summernote/202302/02fb2b49061071da57bfc946fb32e315.jpg","JPG 재압축","1","600x450","600x450","53","56"
"/uploaded/summernote/202302/02fee161280addeb2bc1e33b8544b6d5.jpg","/images/uploaded/summernote/202302/02fee161280addeb2bc1e33b8544b6d5.jpg","JPG 재압축","1","2040x1148","1400x788","574","263"
"/uploaded/summernote/202302/03305c324b18a4bb7989e97330ae7d6e.jpg","/images/uploaded/summernote/202302/03305c324b18a4bb7989e97330ae7d6e.jpg","JPG 재압축","1","540x960","540x960","49","57"
"/uploaded/summernote/202302/0369a10724b6bc4783fe407f2c5b43e2.jpg","/images/uploaded/summernote/202302/0369a10724b6bc4783fe407f2c5b43e2.jpg","JPG 재압축","1","960x720","960x720","71","93"
"/uploaded/summernote/202302/038588e80c7cf008c80f7f801ba255b8.jpg","/images/uploaded/summernote/202302/038588e80c7cf008c80f7f801ba255b8.jpg","JPG 재압축","1","1080x757","1080x757","87","105"
"/uploaded/summernote/202302/03bc92c9aefae2ee6dbb58500ff3f30c.jpg","/images/uploaded/summernote/202302/03bc92c9aefae2ee6dbb58500ff3f30c.jpg","JPG 재압축","1","1440x1080","1400x1050","365","209"
"/uploaded/summernote/202302/03c10583098debe8028ccb2d8115fc59.png","/images/uploaded/summernote/202302/03c10583098debe8028ccb2d8115fc59.jpg","PNG→JPG","1","1280x720","1280x720","642","132"
"/uploaded/summernote/202302/03cd78ca931c9bf21436ac92ea7fa166.jpg","/images/uploaded/summernote/202302/03cd78ca931c9bf21436ac92ea7fa166.jpg","JPG 재압축","1","960x960","960x960","78","94"
"/uploaded/summernote/202302/03ef926261aeb300ace936332a7ae5d1.jpg","/images/uploaded/summernote/202302/03ef926261aeb300ace936332a7ae5d1.jpg","JPG 재압축","1","600x338","600x338","33","34"
"/uploaded/summernote/202302/050916db2eea8d381e34423953d4b13f.jpg","/images/uploaded/summernote/202302/050916db2eea8d381e34423953d4b13f.jpg","JPG 재압축","1","720x540","720x540","56","58"
"/uploaded/summernote/202302/0512933735080a7f347f54d619919bb7.jpg","/images/uploaded/summernote/202302/0512933735080a7f347f54d619919bb7.jpg","JPG 재압축","1","1440x1080","1400x1050","365","209"
"/uploaded/summernote/202302/05463822b7d26609ed654ae1ae41f15e.jpg","/images/uploaded/summernote/202302/05463822b7d26609ed654ae1ae41f15e.jpg","JPG 재압축","1","960x720","960x720","61","78"
"/uploaded/summernote/202302/05d49c8a69ebe582e16e6ef80ec5c990.jpg","/images/uploaded/summernote/202302/05d49c8a69ebe582e16e6ef80ec5c990.jpg","JPG 재압축","1","338x600","338x600","30","31"
"/uploaded/summernote/202302/05def6d0cd751dd026e4e0213cf99f11.jpg","/images/uploaded/summernote/202302/05def6d0cd751dd026e4e0213cf99f11.jpg","JPG 재압축","1","600x450","600x450","40","41"
"/uploaded/summernote/202302/06302854c80167a64b0d88b1b28c7c11.jpg","/images/uploaded/summernote/202302/06302854c80167a64b0d88b1b28c7c11.jpg","JPG 재압축","1","750x562","750x562","45","52"
"/uploaded/summernote/202302/064320ea4046ce22c04a0b8d2aa9137e.jpg","/images/uploaded/summernote/202302/064320ea4046ce22c04a0b8d2aa9137e.jpg","JPG 재압축","1","592x296","592x296","29","30"
"/uploaded/summernote/202302/06563f0e324cf3d2b852eaddc1927d03.jpg","/images/uploaded/summernote/202302/06563f0e324cf3d2b852eaddc1927d03.jpg","JPG 재압축","1","960x720","960x720","60","72"
"/uploaded/summernote/202302/069745901e611bec633c3d14f576162b.jpg","/images/uploaded/summernote/202302/069745901e611bec633c3d14f576162b.jpg","JPG 재압축","1","665x960","665x960","94","123"
"/uploaded/summernote/202302/06be98da9483b2ddedb89ebbcf997199.jpg","/images/uploaded/summernote/202302/06be98da9483b2ddedb89ebbcf997199.jpg","JPG 재압축","1","540x960","540x960","56","66"
"/uploaded/summernote/202302/078ab6dd87443c90654c74daa4cea312.png","/images/uploaded/summernote/202302/078ab6dd87443c90654c74daa4cea312.jpg","PNG→JPG","1","1280x720","1280x720","623","131"
"/uploaded/summernote/202302/07a30b64deb5e617899cceaba9064074.jpg","/images/uploaded/summernote/202302/07a30b64deb5e617899cceaba9064074.jpg","JPG 재압축","1","720x960","720x960","33","44"
"/uploaded/summernote/202302/07b3b271e3c46b8c8167bbc7bab4e17a.jpg","/images/uploaded/summernote/202302/07b3b271e3c46b8c8167bbc7bab4e17a.jpg","JPG 재압축","1","960x720","960x720","59","73"
"/uploaded/summernote/202302/07b6b8cf1906a2232f323f1f91af4185.jpg","/images/uploaded/summernote/202302/07b6b8cf1906a2232f323f1f91af4185.jpg","JPG 재압축","1","449x600","449x600","43","45"
"/uploaded/summernote/202302/0852977942ec89f59a1b73693730f1cc.png","/images/uploaded/summernote/202302/0852977942ec89f59a1b73693730f1cc.jpg","PNG→JPG","1","780x295","780x295","177","42"
"/uploaded/summernote/202302/088ac4fdc6a0bc1e2652cbc97dfcde91.jpg","/images/uploaded/summernote/202302/088ac4fdc6a0bc1e2652cbc97dfcde91.jpg","JPG 재압축","1","720x540","720x540","65","67"
"/uploaded/summernote/202302/0960823ab62601263934b6df9e8790f1.jpg","/images/uploaded/summernote/202302/0960823ab62601263934b6df9e8790f1.jpg","JPG 재압축","1","960x550","960x550","48","61"
"/uploaded/summernote/202302/0962342cfaeb1cac3b9d664f99e6d768.jpg","/images/uploaded/summernote/202302/0962342cfaeb1cac3b9d664f99e6d768.jpg","JPG 재압축","1","1280x720","1280x720","62","74"
"/uploaded/summernote/202302/09c196b2f64f63b9ae5f957be0d7b3b4.jpg","/images/uploaded/summernote/202302/09c196b2f64f63b9ae5f957be0d7b3b4.jpg","JPG 재압축","1","600x600","600x600","68","71"
"/uploaded/summernote/202302/0a00d8bdc9a7737d40c29b1fc2c736c4.jpg","/images/uploaded/summernote/202302/0a00d8bdc9a7737d40c29b1fc2c736c4.jpg","JPG 재압축","1","2048x1365","1400x933","255","186"
"/uploaded/summernote/202302/0a142a5789ec4ef9c3d4f1c288b47710.jpg","/images/uploaded/summernote/202302/0a142a5789ec4ef9c3d4f1c288b47710.jpg","JPG 재압축","1","2048x1536","1400x1050","315","224"
"/uploaded/summernote/202302/0a186d3ae915141d6787f004207c3344.jpg","/images/uploaded/summernote/202302/0a186d3ae915141d6787f004207c3344.jpg","JPG 재압축","1","2048x1536","1400x1050","332","219"
"/uploaded/summernote/202302/0a452fae2301c81e2ffc85caa4893b52.jpg","/images/uploaded/summernote/202302/0a452fae2301c81e2ffc85caa4893b52.jpg","JPG 재압축","1","960x540","960x540","43","55"
"/uploaded/summernote/202302/0a571d2ebb729f68c1c9e725ddc6e9bb.jpg","/images/uploaded/summernote/202302/0a571d2ebb729f68c1c9e725ddc6e9bb.jpg","JPG 재압축","1","960x720","960x720","72","94"
"/uploaded/summernote/202302/0a96762a1edbc2bcf27d5bac12a14b01.jpg","/images/uploaded/summernote/202302/0a96762a1edbc2bcf27d5bac12a14b01.jpg","JPG 재압축","1","719x960","719x960","50","61"
"/uploaded/summernote/202302/0ac79033e36e55c33d43965aa7467920.jpg","/images/uploaded/summernote/202302/0ac79033e36e55c33d43965aa7467920.jpg","JPG 재압축","1","540x960","540x960","49","57"
"/uploaded/summernote/202302/0aea34ccb033a47ae5c9eb99f413b561.jpg","/images/uploaded/summernote/202302/0aea34ccb033a47ae5c9eb99f413b561.jpg","JPG 재압축","1","450x600","450x600","54","56"
"/uploaded/summernote/202302/0b46732e9c7969722bd0ab466dfbb576.png","/images/uploaded/summernote/202302/0b46732e9c7969722bd0ab466dfbb576.jpg","PNG→JPG","1","598x414","598x414","212","61"
"/uploaded/summernote/202302/0bd3d604deceadd4178bfe5162c69b63.jpg","/images/uploaded/summernote/202302/0bd3d604deceadd4178bfe5162c69b63.jpg","JPG 재압축","1","960x540","960x540","39","50"
"/uploaded/summernote/202302/0c069a6071031af72ffe0db04ed82028.jpg","/images/uploaded/summernote/202302/0c069a6071031af72ffe0db04ed82028.jpg","JPG 재압축","1","592x296","592x296","29","30"
"/uploaded/summernote/202302/0c10b13af0a2b1476b3b4163a4646170.jpg","/images/uploaded/summernote/202302/0c10b13af0a2b1476b3b4163a4646170.jpg","JPG 재압축","1","1536x2048","1050x1400","326","239"
"/uploaded/summernote/202302/0c1a6fdbeda0f6017f2e57f8971f56b6.jpg","/images/uploaded/summernote/202302/0c1a6fdbeda0f6017f2e57f8971f56b6.jpg","JPG 재압축","1","960x720","960x720","67","78"
"/uploaded/summernote/202302/0c1c9c70495e58eb8d530e65facc37b8.jpg","/images/uploaded/summernote/202302/0c1c9c70495e58eb8d530e65facc37b8.jpg","JPG 재압축","1","2048x1536","1400x1050","397","282"
"/uploaded/summernote/202302/0c33560a7bf915b3e40aa7d0a5e91bab.jpg","/images/uploaded/summernote/202302/0c33560a7bf915b3e40aa7d0a5e91bab.jpg","JPG 재압축","1","2048x1536","1400x1050","452","308"
"/uploaded/summernote/202302/0c5ceaae5eda6d4a4307fbcd5a4e59e2.jpg","/images/uploaded/summernote/202302/0c5ceaae5eda6d4a4307fbcd5a4e59e2.jpg","JPG 재압축","1","526x526","526x526","56","59"
"/uploaded/summernote/202302/0d5d83191ce62fdc6f94041e0f33bc80.png","/images/uploaded/summernote/202302/0d5d83191ce62fdc6f94041e0f33bc80.jpg","PNG→JPG","1","1360x636","1360x636","1176","168"
"/uploaded/summernote/202302/0d80522075201834ec4857ca05a9e087.jpg","/images/uploaded/summernote/202302/0d80522075201834ec4857ca05a9e087.jpg","JPG 재압축","1","960x540","960x540","61","76"
