"게시판","b_idx","fileid","파일명","bytes"
"misc","/module/board/download.php?boardid=","","attach_1.bin","325"
"news","27","23","YP 지원자용 서류.zip","91168"
"news","28","24","ODA YP 채용 공고 및 지원서 양식.zip","174031"
"news","40","66","[보도자료] 키르기즈 공화국 간호학 학사 학위 도입 보도자료.pdf","277583"
"news","42","67","경희대학교 NURSPhere Lab ODA YP 채용 안내 및 지원서 양식.Zip","118601"
"news","43","68","경희대학교 NURSPhere Lab ODA YP 채용 안내 및 지원서 양식_68.Zip","118601"
"news","44","69","붙임1. 입사지원서 표준 양식.hwp","49152"
"news","44","70","붙임2. 개인정보동의서 양식.hwp","65024"
"news","45","75","붙임1. 입사지원서 표준 양식_75.hwp","49152"
"news","45","76","붙임2. 개인정보동의서 양식_76.hwp","65024"
"news","46","77","경희대학교 아동간호학교실 2024 상반기 ODA YP 입사지원서 (1).Zip","160415"
"news","47","78","경희대학교 아동간호학교실 2024 상반기 ODA YP 입사지원서_(1).Zip","150559"
"news","50","95","5th International Nursing Forum_Competence Nurse Partnering with Physicians for Excellence Poster_en","1115321"
"news","58","101","입사지원서 및 자기소개서.hwp","38400"
"news","58","102","개인정보수집이용에 대한 동의서.hwp","44032"
"news","59","106","BK-LUPIC 1,2차년도 성과 보고 동영상.mp4","169666123"
"news","61","113","경희대학교 아동간호학교실 2025 상반기 ODA YP 입사지원서.zip","193729"
"news","62","114","경희대학교 아동간호학교실 2025 상반기 ODA YP 입사지원서_114.zip","193729"
"news","63","115","초청연수 영상.mp4","106892912"
"news","68","126","2025 NURSphere Lab_개인정보수집이용에 대한 동의서.hwp","40960"
"news","68","127","2025 NURSphere Lab_입사지원서 및 자기소개서.hwp","37376"
"news","70","268","경희대학교 아동간호학교실 2026 상반기 ODA YP 입사지원서.zip","130200"
"news","74","297","경희대학교 아동간호학교실 2026 하반기 ODA YP 입사지원서.zip","130200"
"news_en","20","96","5th International Nursing Forum_Competence Nurse Partnering with Physicians for Excellence Poster_en","1115321"
"news_en","26","107","Video Report on BK-LUPIC Project Achievements for Years 1 and 2.mp4","169666123"
"news_en","28","117","초청연수 영상.mp4","106892912"
"news_en","30","124","2025 INF 6th_proceeding_ENG.pdf","22506481"
"news_kg","35","97","5th International Nursing Forum_Competence Nurse Partnering with Physicians for Excellence Poster_ru","1115924"
"news_ru","34","98","5th International Nursing Forum_Competence Nurse Partnering with Physicians for Excellence Poster_ru","1115924"
"news_ru","41","116","초청연수 영상.mp4","106892912"
"news_ru","43","125","2025 INF 6th_proceeding_RUS.pdf","33443530"
"news_ru","51","271","포럼 포스터_pre-registran_RUS.png","2457940"
"social","149","48","Quality of parent-child interactions in migrant community.pdf","344606"
"social","150","47","attach_34.bin","417"
"social","151","46","Development of a play toolkit for supporting infant and toddler development in Kyrgyzstan.pdf","682006"
"social","152","45","20. Community health needs assessment for a child health promotion program in Kyrgyzstan.pdf","1898654"
"social","153","44","8399a55b0a766031084eac0edb9e4b300.pdf","879201"
"social","154","36","23. Exploring the unmet needs for creating an enabling environment.pdf","418107"
"social","156","43","24. Prevalence of Iodine Deficiency among School Children from New Settlement in Kyrgyzstan.pdf","471117"
"social","157","41","sigma_33rd_congress_GES_Delphi.pdf","63339"
"social","158","40","sigma_33rd_congress_GES_needs assessment.pdf","63259"
"social","159","39","BK_GES_Policy_Suggestion_Report.pdf","18992502"
"social","164","49","1.jpg","183562"
"social","164","50","2.jpg","177539"
"social","165","60","attach_45.bin","417"
"social","204","81","훈장수훈 50%.jpg","29740"
"social","209","103","BK-LUPIC 1,2차년도 성과 보고 동영상(2024. 5 출장).mp4","169666123"
"social","209","104","BK-LUPIC 3차년도 5월 출장 보고 동영상.mp4","229517976"
"social","210","109","BK-LUPIC July Report.mp4","62199128"
"social","211","128","IMG_1276.HEIC","2415575"
"social","211","130","IMG_1278.JPEG","1328643"
"social_en","100","105","Video Report on BK-LUPIC Third Year May Business Trip.mp4","229517976"
"social_en","101","108","BK-LUPIC July Report.mp4","62199128"
"social_kg","151","110","BK-LUPIC July Report.mp4","62199128"
"social_ru","193","111","BK-LUPIC July Report.mp4","62199128"
"social_ru","194","129","IMG_1276.HEIC","2415575"
