"언어","종류","게시판","idx","제목","카테고리","날짜","본문길이","이미지수","첨부수"
"ko","news","news","12","[공지] 키르기즈스탄 이주민마을 지역사회기반 예방중심 건강증진 사업의 새로운 시작을 함께해주세요!","공지사항","2023-02-09","81","12","0"
"ko","news","news","13","[공지] GLP(국제보건 리더십 프로그램 7기 및 GPHO(국제보건전문가 현장훈련 프로그램) 4기 모집(마감)","공지사항","2023-02-09","793","1","0"
"ko","news","news","14","[공지] Bright Kyrgyzstan 홈페이지 오픈","공지사항","2023-02-09","143","1","0"
"ko","news","news","15","[공지] GPHO(국제보건전문가) 현장 훈련 프로그램 7기 모집(마감)","공지사항","2023-02-09","2","1","0"
"ko","news","news","16","[공지] Bright Kyrgyzstan 'Good Parenting'","공지사항","2023-02-09","88","1","0"
"ko","news","news","17","[공지] 2019 International Conference : Child Health and Nursing Education(마감)","공지사항","2023-02-09","254","1","0"
"ko","news","news","18","[공지] 2019 교육부 글로벌교육지원 사업 국내초청 연수","공지사항","2023-02-09","134","1","0"
"ko","news","news","24","[공지] BK-LUPIC 프로젝트가 시작됩니다!","공지사항","2023-02-10","500","2","0"
"ko","news","news","25","[국내언론] BK-LUPIC Kickoff Ceremony 언론 보도","국내언론","2023-02-10","263","3","0"
"ko","news","news","26","[공지] 국제간호사의 날","공지사항","2023-02-10","170","1","0"
"ko","news","news","27","[채용] 경희대학교 아동간호학교실 2022 하반기 ODA 영프로페셔널(YP) 채용(마감)","공지사항","2023-02-10","351","2","1"
"ko","news","news","28","[채용] 경희대학교 아동간호학교실 2023 상반기 ODA 영프로페셔널(YP) 채용 (마감)","공지사항","2023-02-10","1954","1","1"
"ko","news","news","29","제4회 Educational session '키르기즈 공화국의 보건정보시스템 구축을 위한 효과적인 전략 도출 및 적용 방안'","공지사항","2023-03-29","62","2","0"
"ko","news","news","30","제 5회 Educational session '간호학 학사 과정과 간호 직무 표준'","공지사항","2023-03-29","61","2","0"
"ko","news","news","31","세계 간호사의 날 2023","공지사항","2023-05-12","666","2","0"
"ko","news","news","32","대한민국 간호법 제정을 지지합니다! (간호법 바로알기 카드뉴스)","공지사항","2023-05-19","2","21","0"
"ko","news","news","33","제 4회 International Nursing Forum","공지사항","2023-05-30","742","1","0"
"ko","news","news","35","Poster Session: CALL FOR ABSTRACT NOTIFICATION","공지사항","2023-06-01","1449","1","0"
"ko","news","news","38","CALL FOR ABSTRACT EXTENDED !","공지사항","2023-06-09","485","1","0"
"ko","news","news","40","[보도자료] 키르기즈 공화국 간호학과 조산학의 학사 및 대학원 프로그램 도입 공식 승인","공지사항","2023-06-15","189","4","1"
"ko","news","news","41","[국내언론] 키르기즈 공화국 간호학과 조산학의 학사 및 대학원 프로그램 도입 공식 승인 언론 보도","공지사항","2023-06-16","634","4","0"
"ko","news","news","42","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 채용 (마감)","공지사항","2023-06-22","2","1","1"
"ko","news","news","43","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 채용 재공고 (기한 연장-마감)","공지사항","2023-07-18","2","1","1"
"ko","news","news","44","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 결원 채용(마감)","공지사항","2023-08-17","2","1","2"
"ko","news","news","45","[채용] 경희대학교 아동간호학교실 2023 하반기 ODA 영프로페셔널(YP) 결원 채용(기한연장)","공지사항","2023-08-29","2","1","2"
"ko","news","news","46","[채용] 경희대학교 아동간호학교실 2024 상반기 ODA 영프로페셔널(YP) 채용","공지사항","2023-12-14","2","1","1"
"ko","news","news","47","[채용] 경희대학교 아동간호학교실 2024 상반기 ODA 영프로페셔널(YP) 채용 재공고 (기한 연장)","공지사항","2023-12-26","2","1","1"
"ko","news","news","48","Poster Session: CALL FOR ABSTRACT NOTIFICATION","공지사항","2024-03-28","1082","1","0"
"ko","news","news","49","Poster Session: CALL FOR ABSTRACT EXTENDED!","공지사항","2024-04-13","505","1","0"
"ko","news","news","50","제 5회 International Nursing Forum","공지사항","2024-05-01","786","1","1"
"ko","news","news","51","[국내언론] 키르기즈 공화국에서 개최한 제5회 국제간호포럼 개최 소식 언론 보도","국내언론","2024-05-09","1061","6","0"
"ko","news","news","53","[보도자료] 키르기즈 공화국에서 개최한 제5회 국제간호포럼 개최","공지사항","2024-05-09","159","5","0"
"ko","news","news","54","국제 간호사의 날 2024","공지사항","2024-05-13","1073","6","0"
"ko","news","news","55","BK-LUPIC 2024 교원 역량 강화 프로그램 데이터 관리 및 분석 교육","공지사항","2024-06-05","147","1","0"
"ko","news","news","56","WHO European region Collaborating Centers & country office and KSMA, BK-LUPIC","공지사항","2024-07-17","136","5","0"
"ko","news","news","57","International conference on the development of nursing science with the participation of experts from WHO collaborating centers","공지사항","2024-07-17","130","4","0"
"ko","news","news","58","[채용마감] 2024년 NURSphere Lab 연구원 모집 공고","공지사항","2024-07-22","1485","1","2"
"ko","news","news","59","BK-LUPIC 선진적 간호교육 구축에 한 걸음 더 다가가다 (BK-LUPIC 1,2차년도 성과 보고)","공지사항","2024-07-24","2","0","1"
"ko","news","news","60","키르기즈국립의과대학, 경희대학교에 개교 85주년 맞아 감사장 수여","국내언론","2024-09-11","1037","3","0"
"ko","news","news","61","[채용] 경희대학교 아동간호학교실 2025 상반기 ODA 영프로페셔널(YP) 채용","공지사항","2024-12-06","1849","1","1"
"ko","news","news","62","[채용] 경희대학교 아동간호학교실 2025 상반기 ODA 영프로페셔널(YP) 채용 재공고 (기한 연장)","공지사항","2025-01-08","1971","1","1"
"ko","news","news","63","키르기즈 공화국 연수단 한국 방문 (2025.02.10. - 2025.02.14.)","공지사항","2025-02-20","329","0","1"
"ko","news","news","64","Poster Session: CALL FOR ABSTRACT NOTIFICATION","공지사항","2025-03-25","1375","4","0"
"ko","news","news","65","제 6회 International Nursing Forum","공지사항","2025-04-09","820","1","0"
"ko","news","news","66","Poster Session: CALL FOR ABSTRACT EXTENDED!","공지사항","2025-04-10","504","1","0"
"ko","news","news","68","[채용]2025년 NURSphere Lab 연구원 모집 공고","공지사항","2025-05-21","1426","0","2"
"ko","news","news","69","BK-LUPIC May 2025 Faculty Development Workshop: Innovative and Strategic Advancement of Nursing Education in the Kyrgyz Republic","공지사항","2025-05-26","1154","11","0"
"ko","news","news","70","[채용] 경희대학교 아동간호학교실 2026 상반기 ODA 영프로페셔널(YP) 채용","공지사항","2025-12-24","1905","1","1"
"ko","news","news","71","Call for Abstract: 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","공지사항","2026-02-23","1114","1","0"
"ko","news","news","72","[Register Now] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY!","공지사항","2026-03-04","307","1","0"
"ko","news","news","73","[Abstract Submission Deadline — Extended!] 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","공지사항","2026-03-20","504","1","0"
"ko","news","news","74","[채용] 경희대학교 아동간호학교실 2026 하반기 ODA 영프로페셔널(YP) 채용","공지사항","2026-09-03","1931","1","1"
"ko","news","news","75","[BK-LUPIC 소식] 신현숙 사업단장 키르기스스탄 파견 활동","공지사항","2026-09-04","288","1","0"
